"URL","Page Type","Primary Intent","Primary Keyword","Supporting Keywords","Indexable"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/รับซื้อโน๊ตบุ๊คเสีย-ขอนแก่น/","Model Page","ต้องการขายสินค้าตามรุ่น/ซีรีส์","รับซื้อ รับซื้อโน๊ตบุ๊คเสียขอนแก่น แยกประเมินตามอะไหล่ที่ยังมีราคา","ราคา รับซื้อโน๊ตบุ๊คเสียขอนแก่น แยกประเมินตามอะไหล่ที่ยังมีราคา","TRUE"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/รับซื้อไอที-ชุมแพ/","Local Page","ต้องการบริการนัดรับในพื้นที่","รับซื้อสินค้าไอที ชุมแพ ส่งรูปก่อน จัดรอบรับตามคิว","นัดรับ รับซื้อสินค้าไอที ชุมแพ ส่งรูปก่อน จัดรอบรับตามคิว","TRUE"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/รับซื้อไอที-น้ำพอง/","Local Page","ต้องการบริการนัดรับในพื้นที่","รับซื้อสินค้าไอที น้ำพอง จัดรอบรับตามคิวงาน","นัดรับ รับซื้อสินค้าไอที น้ำพอง จัดรอบรับตามคิวงาน","TRUE"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/รับซื้อไอที-บ้านเป็ด/","Local Page","ต้องการบริการนัดรับในพื้นที่","รับซื้อสินค้าไอที บ้านเป็ด นัดรับตามโซนหมู่บ้านและคอนโด","นัดรับ รับซื้อสินค้าไอที บ้านเป็ด นัดรับตามโซนหมู่บ้านและคอนโด","TRUE"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/รับซื้อไอที-บ้านไผ่/","Local Page","ต้องการบริการนัดรับในพื้นที่","รับซื้อสินค้าไอที บ้านไผ่ จัดรอบรับถึงพื้นที่","นัดรับ รับซื้อสินค้าไอที บ้านไผ่ จัดรอบรับถึงพื้นที่","TRUE"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/รับซื้อไอที-พล/","Local Page","ต้องการบริการนัดรับในพื้นที่","รับซื้อสินค้าไอที พล นัดรับต่างอำเภอตามรอบงาน","นัดรับ รับซื้อสินค้าไอที พล นัดรับต่างอำเภอตามรอบงาน","TRUE"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/รับซื้อไอที-ศิลา/","Local Page","ต้องการบริการนัดรับในพื้นที่","รับซื้อสินค้าไอที ศิลา ใกล้ มข. และโซนหอพัก","นัดรับ รับซื้อสินค้าไอที ศิลา ใกล้ มข. และโซนหอพัก","TRUE"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/รับซื้อไอที-เมืองขอนแก่น/","Local Page","ต้องการบริการนัดรับในพื้นที่","รับซื้อสินค้าไอที เมืองขอนแก่น นัดรับไวตามคิวงานจริง","นัดรับ รับซื้อสินค้าไอที เมืองขอนแก่น นัดรับไวตามคิวงานจริง","TRUE"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/สภาพสินค้าที่ขายได้/","Hub Page","ต้องการดูสภาพสินค้าที่รับซื้อ","สภาพสินค้าที่ขายได้ ขอนแก่น","จอแตก เปิดไม่ติด แบตบวม","TRUE"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/เปิดไม่ติดขายได้ไหม/","Condition Page","ต้องการดูว่ารับซื้อตามสภาพนี้หรือไม่","เครื่องเปิดไม่ติด บูตไม่ขึ้น ยังส่งประเมินราคาได้","สภาพ เครื่องเปิดไม่ติด บูตไม่ขึ้น ยังส่งประเมินราคาได้","TRUE"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/แบตบวมขายได้ไหม/","Condition Page","ต้องการดูว่ารับซื้อตามสภาพนี้หรือไม่","แบตบวม แบตเสื่อม ขายได้ แต่ต้องแจ้งตั้งแต่แรก","สภาพ แบตบวม แบตเสื่อม ขายได้ แต่ต้องแจ้งตั้งแต่แรก","TRUE"
"https://xn--12cb0a0clbb5eueac5b7cya1nrb2eh.com/ไม่มีกล่องขายได้ไหม/","Condition Page","ต้องการดูว่ารับซื้อตามสภาพนี้หรือไม่","ไม่มีกล่อง ไม่มีใบเสร็จ ยังขายสินค้าไอทีได้","สภาพ ไม่มีกล่อง ไม่มีใบเสร็จ ยังขายสินค้าไอทีได้","TRUE"
